zero,one,two,three,four,five,six,seven,eight,nine
3852fca2_nohash_0.wav,4422e51d_nohash_0.wav,3ca784ec_nohash_3.wav,4422e51d_nohash_0.wav,44b5720d_nohash_0.wav,58df33b5_nohash_0.wav,1fd85ee4_nohash_0.wav,48bdc11c_nohash_0.wav,4a4e28f1_nohash_3.wav,2643992f_nohash_0.wav
3aa6f4e2_nohash_1.wav,44b5720d_nohash_0.wav,44b5720d_nohash_0.wav,44b5720d_nohash_0.wav,48bdc11c_nohash_0.wav,5ac04a92_nohash_0.wav,2643992f_nohash_0.wav,4c77947d_nohash_1.wav,4def68db_nohash_2.wav,3aa6f4e2_nohash_1.wav
3b7f817e_nohash_3.wav,5ac04a92_nohash_0.wav,48bdc11c_nohash_0.wav,4c77947d_nohash_1.wav,50f55535_nohash_0.wav,5af0ca83_nohash_0.wav,4422e51d_nohash_0.wav,50f55535_nohash_0.wav,50f55535_nohash_0.wav,471a0925_nohash_4.wav
471a0925_nohash_4.wav,5af0ca83_nohash_0.wav,5ac04a92_nohash_0.wav,50f55535_nohash_0.wav,520b2c17_nohash_2.wav,61a0d340_nohash_0.wav,4def68db_nohash_2.wav,58df33b5_nohash_0.wav,57b68383_nohash_2.wav,51f4d5b0_nohash_2.wav
48bdc11c_nohash_0.wav,61e50f62_nohash_0.wav,5af0ca83_nohash_0.wav,5af0ca83_nohash_0.wav,5ac04a92_nohash_0.wav,61e50f62_nohash_0.wav,57b68383_nohash_2.wav,5a9f7324_nohash_4.wav,5ac04a92_nohash_0.wav,58df33b5_nohash_0.wav
51f4d5b0_nohash_2.wav,652b3da7_nohash_0.wav,61a0d340_nohash_0.wav,5e1b34a6_nohash_0.wav,652b3da7_nohash_0.wav,652b3da7_nohash_0.wav,5828dfa2_nohash_1.wav,5af0ca83_nohash_0.wav,5af0ca83_nohash_0.wav,5e1b34a6_nohash_0.wav
5ac04a92_nohash_0.wav,692a88e6_nohash_5.wav,652b3da7_nohash_0.wav,66774579_nohash_1.wav,66774579_nohash_1.wav,6ac35824_nohash_0.wav,5ac04a92_nohash_0.wav,61a0d340_nohash_0.wav,61a0d340_nohash_0.wav,66774579_nohash_1.wav
5af0ca83_nohash_0.wav,6a27a9bf_nohash_0.wav,735845ab_nohash_0.wav,692a88e6_nohash_5.wav,6a27a9bf_nohash_0.wav,735845ab_nohash_0.wav,5af0ca83_nohash_0.wav,61e50f62_nohash_0.wav,61e50f62_nohash_0.wav,6a27a9bf_nohash_0.wav
5e1b34a6_nohash_0.wav,735845ab_nohash_3.wav,735845ab_nohash_3.wav,735845ab_nohash_0.wav,6ac35824_nohash_0.wav,735845ab_nohash_3.wav,61a0d340_nohash_0.wav,61e50f62_nohash_2.wav,735845ab_nohash_3.wav,735845ab_nohash_0.wav
61a0d340_nohash_0.wav,778a4a01_nohash_0.wav,778a4a01_nohash_0.wav,735845ab_nohash_3.wav,735845ab_nohash_3.wav,77def3ee_nohash_2.wav,66774579_nohash_1.wav,6a27a9bf_nohash_0.wav,750e3e75_nohash_0.wav,735845ab_nohash_3.wav
68dd409e_nohash_0.wav,7bf801d1_nohash_1.wav,78884794_nohash_1.wav,750e3e75_nohash_0.wav,750e3e75_nohash_0.wav,798f702a_nohash_2.wav,6a27a9bf_nohash_0.wav,6ac35824_nohash_0.wav,778a4a01_nohash_0.wav,778a4a01_nohash_0.wav
6a27a9bf_nohash_0.wav,7ff4fc72_nohash_0.wav,7e4fa1d8_nohash_0.wav,798f702a_nohash_2.wav,778a4a01_nohash_0.wav,7bf801d1_nohash_1.wav,6ac35824_nohash_0.wav,735845ab_nohash_0.wav,78884794_nohash_1.wav,782c1305_nohash_1.wav
735845ab_nohash_0.wav,88120683_nohash_0.wav,7fc74fbe_nohash_1.wav,7bf801d1_nohash_1.wav,782c1305_nohash_1.wav,7e4fa1d8_nohash_0.wav,735845ab_nohash_3.wav,735845ab_nohash_3.wav,798f702a_nohash_2.wav,78884794_nohash_1.wav
735845ab_nohash_3.wav,8c4854bc_nohash_0.wav,7ff4fc72_nohash_0.wav,7e4fa1d8_nohash_0.wav,78884794_nohash_1.wav,7fc74fbe_nohash_1.wav,77def3ee_nohash_2.wav,7fc74fbe_nohash_1.wav,7ff4fc72_nohash_0.wav,88120683_nohash_0.wav
7ff4fc72_nohash_0.wav,92b0a735_nohash_1.wav,82c6d220_nohash_1.wav,8c4854bc_nohash_0.wav,7e4fa1d8_nohash_0.wav,88120683_nohash_0.wav,7e4fa1d8_nohash_0.wav,7ff4fc72_nohash_0.wav,87728a88_nohash_2.wav,8c4854bc_nohash_0.wav
82c6d220_nohash_1.wav,95218ce8_nohash_0.wav,87728a88_nohash_2.wav,92b0a735_nohash_1.wav,7ff4fc72_nohash_0.wav,8ff44869_nohash_1.wav,7ff4fc72_nohash_0.wav,88120683_nohash_0.wav,88120683_nohash_0.wav,937b433e_nohash_1.wav
88120683_nohash_0.wav,9587481f_nohash_0.wav,88120683_nohash_0.wav,937b433e_nohash_1.wav,82c6d220_nohash_1.wav,95218ce8_nohash_0.wav,86478fab_nohash_2.wav,8c4854bc_nohash_0.wav,8ff44869_nohash_1.wav,95218ce8_nohash_0.wav
8c4854bc_nohash_0.wav,98582fee_nohash_1.wav,8c4854bc_nohash_0.wav,9587481f_nohash_0.wav,8c4854bc_nohash_0.wav,9587481f_nohash_0.wav,8c4854bc_nohash_0.wav,95218ce8_nohash_0.wav,9587481f_nohash_0.wav,9aa21fa9_nohash_2.wav
95218ce8_nohash_0.wav,9f63152b_nohash_0.wav,937b433e_nohash_1.wav,96d5276f_nohash_2.wav,937b433e_nohash_1.wav,98582fee_nohash_1.wav,9f63152b_nohash_0.wav,9587481f_nohash_0.wav,98582fee_nohash_1.wav,9f63152b_nohash_0.wav
9587481f_nohash_0.wav,ae71797c_nohash_4.wav,9587481f_nohash_0.wav,98582fee_nohash_1.wav,9587481f_nohash_0.wav,9f63152b_nohash_0.wav,a3502f15_nohash_0.wav,9a4d12fd_nohash_1.wav,9f63152b_nohash_0.wav,a13e0a74_nohash_0.wav
9aa21fa9_nohash_2.wav,b00dff7e_nohash_0.wav,9f63152b_nohash_0.wav,9aa21fa9_nohash_2.wav,a6285644_nohash_1.wav,a13e0a74_nohash_0.wav,a6285644_nohash_1.wav,9aa21fa9_nohash_2.wav,a3502f15_nohash_0.wav,a3502f15_nohash_0.wav
9f63152b_nohash_0.wav,b8872c20_nohash_0.wav,a3502f15_nohash_0.wav,a13e0a74_nohash_0.wav,a6285644_nohash_2.wav,b00dff7e_nohash_0.wav,b00dff7e_nohash_0.wav,9f63152b_nohash_0.wav,a6285644_nohash_1.wav,a6285644_nohash_1.wav
a13e0a74_nohash_0.wav,b97c9f77_nohash_1.wav,b00dff7e_nohash_0.wav,a3502f15_nohash_0.wav,ad89eb1e_nohash_1.wav,b12bef84_nohash_1.wav,b8872c20_nohash_0.wav,a13e0a74_nohash_0.wav,a6285644_nohash_2.wav,b12bef84_nohash_1.wav
aac5b7c1_nohash_2.wav,baf01c1f_nohash_0.wav,b8872c20_nohash_0.wav,ad89eb1e_nohash_1.wav,b97c9f77_nohash_1.wav,b8872c20_nohash_0.wav,b97c9f77_nohash_1.wav,a3502f15_nohash_0.wav,b12bef84_nohash_1.wav,b8872c20_nohash_0.wav
ad89eb1e_nohash_1.wav,c120e80e_nohash_6.wav,b97c9f77_nohash_1.wav,b00dff7e_nohash_0.wav,baf01c1f_nohash_0.wav,b8872c20_nohash_1.wav,baf01c1f_nohash_0.wav,a6285644_nohash_1.wav,b8872c20_nohash_0.wav,b97c9f77_nohash_1.wav
b12bef84_nohash_1.wav,c1d39ce8_nohash_5.wav,c0c0d87d_nohash_2.wav,b97c9f77_nohash_1.wav,c1d39ce8_nohash_5.wav,b97c9f77_nohash_1.wav,bfa63751_nohash_4.wav,b00dff7e_nohash_0.wav,b97c9f77_nohash_1.wav,b9db6e42_nohash_3.wav
b97c9f77_nohash_1.wav,cb2929ce_nohash_4.wav,c120e80e_nohash_6.wav,c1d39ce8_nohash_5.wav,c8db14a8_nohash_2.wav,baf01c1f_nohash_0.wav,c120e80e_nohash_6.wav,b97c9f77_nohash_1.wav,baf01c1f_nohash_0.wav,baf01c1f_nohash_0.wav
c120e80e_nohash_6.wav,cd7f8c1b_nohash_2.wav,c1d39ce8_nohash_5.wav,c7b4049e_nohash_2.wav,cae62f38_nohash_1.wav,c1d39ce8_nohash_5.wav,c1d39ce8_nohash_5.wav,baf01c1f_nohash_0.wav,c120e80e_nohash_6.wav,c120e80e_nohash_6.wav
c1d39ce8_nohash_5.wav,ce7a8e92_nohash_2.wav,cae62f38_nohash_1.wav,cae62f38_nohash_1.wav,cb2929ce_nohash_4.wav,cb2929ce_nohash_4.wav,cb2929ce_nohash_4.wav,c1d39ce8_nohash_5.wav,c1d39ce8_nohash_5.wav,c1d39ce8_nohash_5.wav
cb2929ce_nohash_4.wav,d107dc42_nohash_0.wav,cb2929ce_nohash_4.wav,cb2929ce_nohash_4.wav,cd7f8c1b_nohash_2.wav,cd7f8c1b_nohash_2.wav,cd7f8c1b_nohash_2.wav,cb2929ce_nohash_4.wav,cb2929ce_nohash_4.wav,cae62f38_nohash_1.wav
cd7f8c1b_nohash_2.wav,d7559b2d_nohash_2.wav,cd7f8c1b_nohash_2.wav,cd7f8c1b_nohash_2.wav,d0faf7e4_nohash_4.wav,d0faf7e4_nohash_4.wav,d0faf7e4_nohash_4.wav,cd7f8c1b_nohash_2.wav,cd7f8c1b_nohash_2.wav,cb2929ce_nohash_4.wav
ce7a8e92_nohash_2.wav,da8fa823_nohash_2.wav,d0faf7e4_nohash_4.wav,d0faf7e4_nohash_4.wav,d107dc42_nohash_0.wav,d107dc42_nohash_0.wav,e99d36c8_nohash_1.wav,d0faf7e4_nohash_4.wav,d0faf7e4_nohash_4.wav,cd7f8c1b_nohash_2.wav
d0faf7e4_nohash_4.wav,dca6b373_nohash_1.wav,d107dc42_nohash_0.wav,d107dc42_nohash_0.wav,dc2222d7_nohash_1.wav,d55aa56c_nohash_1.wav,ea1f888c_nohash_0.wav,d107dc42_nohash_0.wav,d107dc42_nohash_0.wav,d0faf7e4_nohash_4.wav
d107dc42_nohash_0.wav,e77d88fc_nohash_1.wav,d4082f3e_nohash_4.wav,e55a2b20_nohash_1.wav,e55a2b20_nohash_1.wav,dca6b373_nohash_1.wav,eb3f7d82_nohash_1.wav,dc2222d7_nohash_1.wav,e99d36c8_nohash_1.wav,dca6b373_nohash_1.wav
e102119e_nohash_1.wav,e99d36c8_nohash_1.wav,e99d36c8_nohash_1.wav,e77d88fc_nohash_1.wav,e99d36c8_nohash_1.wav,e102119e_nohash_1.wav,ec21c46b_nohash_2.wav,e55a2b20_nohash_1.wav,ea1f888c_nohash_0.wav,eb3f7d82_nohash_1.wav
e91d173e_nohash_1.wav,eb3f7d82_nohash_1.wav,ea1f888c_nohash_0.wav,ea1f888c_nohash_0.wav,ea1f888c_nohash_0.wav,eb3f7d82_nohash_1.wav,f0edc767_nohash_0.wav,ea1f888c_nohash_0.wav,eb3f7d82_nohash_1.wav,ef2578c0_nohash_2.wav
eb3f7d82_nohash_1.wav,ec5ab5d5_nohash_2.wav,eb3f7d82_nohash_1.wav,eb3f7d82_nohash_1.wav,eb3f7d82_nohash_1.wav,f33660af_nohash_0.wav,f33660af_nohash_0.wav,eb3f7d82_nohash_1.wav,f06190c1_nohash_3.wav,f0edc767_nohash_0.wav
f19c1390_nohash_4.wav,f0edc767_nohash_0.wav,ec5ab5d5_nohash_2.wav,f33660af_nohash_0.wav,f0edc767_nohash_0.wav,f9ebdba0_nohash_0.wav,f9ebdba0_nohash_0.wav,f0edc767_nohash_0.wav,f0edc767_nohash_0.wav,f19c1390_nohash_4.wav
f33660af_nohash_0.wav,f33660af_nohash_0.wav,f0edc767_nohash_0.wav,f9ebdba0_nohash_0.wav,f33660af_nohash_0.wav,fafe8101_nohash_0.wav,ffa76c4a_nohash_1.wav,fafe8101_nohash_0.wav,f44f440f_nohash_2.wav,fafe8101_nohash_0.wav
f9ebdba0_nohash_0.wav,f9ebdba0_nohash_0.wav,f9ebdba0_nohash_0.wav,fafe8101_nohash_0.wav,fafe8101_nohash_0.wav,fc2411fe_nohash_0.wav,ffa76c4a_nohash_2.wav,fc2411fe_nohash_0.wav,fafe8101_nohash_0.wav,fc2411fe_nohash_0.wav
